,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
3425,100.000000,20,7654,85.382007,70.000,1246,92.273779,-1.222200,0.363600,13.572100,127987,69599074626
3426,100.000000,20,7654,85.397985,70.000,1198,92.328121,-2.534000,0.000000,13.557900,126450,67534289550
3427,100.000000,25,750,91.771800,75.000,149,89.833780,,,11.131700,8216,406404440
3428,100.000000,25,750,92.007491,75.000,143,89.919137,0.691500,0.380200,11.236000,8091,397527012
3429,100.000000,25,750,92.993939,74.000,135,89.927746,-13.203400,-13.636400,14.141400,7369,339209808
3430,100.000000,25,750,93.221766,75.000,134,89.785924,4.064100,5.701800,12.936300,6956,315795444
3431,100.000000,25,750,92.250923,75.000,139,90.115282,26.027000,28.630700,11.439100,8340,417000000
3432,100.000000,25,750,92.850202,74.000,136,89.888235,-12.293100,-11.935500,9.716600,7579,347633572
3433,100.000000,25,750,92.636555,74.000,131,89.586626,-0.780900,0.000000,10.714300,7437,327934515
3434,100.000000,25,750,91.668142,73.000,126,90.231511,-0.656700,1.098900,11.283200,7376,305617184
3435,100.000000,25,750,92.438914,74.000,124,90.521595,-0.320200,0.000000,9.502300,7114,290663812
3436,100.000000,25,750,93.834483,75.000,125,90.553333,-0.895600,-0.362300,10.804600,7165,292460970
3437,100.000000,25,750,92.662818,75.000,123,90.610738,-1.222200,0.363600,10.854500,7231,290129413
3438,100.000000,25,750,92.827338,75.000,117,91.093750,-2.534000,0.000000,11.822700,6938,268563042
3439,100.000000,24,450,112.052427,95.000,145,90.893082,,,20.776700,8188,472504916
3440,100.000000,24,450,112.245614,95.000,144,90.838095,0.691500,0.380200,20.272900,8150,469293300
3441,100.000000,25,450,111.606911,95.000,129,90.584838,-13.203400,-13.636400,22.246200,7135,368693990
3442,100.000000,25,450,111.851293,95.000,131,90.705036,4.064100,5.701800,21.336200,6955,360957545
3443,100.000000,24,450,113.773234,97.000,141,91.400612,26.027000,28.630700,21.003700,8779,537362590
3444,100.000000,24,450,114.288793,95.000,135,90.888087,-12.293100,-11.935500,16.810300,7608,403452240
3445,100.000000,24,450,114.112613,95.500,132,90.648649,-0.780900,0.000000,16.666700,7311,370419126
3446,100.000000,24,450,113.712297,91.000,127,90.595142,-0.656700,1.098900,16.241300,7150,350421500
3447,100.000000,24,450,114.055156,91.000,124,90.543933,-0.320200,0.000000,12.470000,6936,329883096
3448,100.000000,24,450,114.373494,90.000,124,90.474576,-0.895600,-0.362300,12.530100,6936,329217240
3449,100.000000,24,450,114.387019,90.500,125,90.430380,-1.222200,0.363600,12.500000,6936,330049560
3450,100.000000,24,450,113.517677,90.000,114,90.368182,-2.534000,0.000000,13.192600,6737,302848361
3451,100.000000,31,700,161.609375,87.500,20,89.738095,,,26.562500,878,9081154
3452,100.000000,31,700,161.609375,87.500,20,89.738095,0.691500,0.380200,26.562500,878,9081154
3453,100.000000,31,700,163.109091,80.000,17,89.864865,-13.203400,-13.636400,27.272700,708,6351468
3454,100.000000,31,700,166.101695,80.000,18,89.864865,4.064100,5.701800,25.423700,768,7526400
3455,100.000000,31,700,164.343284,80.000,19,90.560976,26.027000,28.630700,28.358200,832,9161152
3456,100.000000,31,700,163.786885,80.000,19,90.230769,-12.293100,-11.935500,24.590200,770,7693070
3457,100.000000,31,700,163.786885,80.000,19,90.230769,-0.780900,0.000000,24.590200,770,7693070
3458,100.000000,31,700,164.050000,80.000,18,89.973684,-0.656700,1.098900,25.000000,758,7460994
3459,100.000000,31,700,168.473684,80.000,17,92.542857,-0.320200,0.000000,15.789500,682,6549246
3460,100.000000,31,700,167.864407,95.000,18,92.675676,-0.895600,-0.362300,15.254200,742,7348768
3461,100.000000,31,700,172.625000,113.000,17,92.294118,-1.222200,0.363600,10.714300,652,6302884
3462,100.000000,31,700,173.444444,95.500,16,92.125000,-2.534000,0.000000,5.555600,592,5544672
3463,100.000000,24,1200,235.610687,110.000,36,93.012658,,,13.740500,1941,59908965
3464,100.000000,24,1500,251.866667,111.000,37,91.722892,0.691500,0.380200,13.333300,1942,66031884
3465,100.000000,24,1500,262.178295,119.000,35,91.565789,-13.203400,-13.636400,13.953500,1762,59592602
3466,100.000000,24,1500,270.290323,123.500,33,90.847222,4.064100,5.701800,9.677400,1702,57044232
3467,100.000000,24,1500,254.768657,111.000,35,91.280488,26.027000,28.630700,8.955200,2002,68346278
3468,100.000000,24,1200,198.803419,110.000,33,93.121622,-12.293100,-11.935500,10.256400,1550,36053000
3469,100.000000,24,1200,205.351351,111.000,31,93.084507,-0.780900,0.000000,10.810800,1388,31638072
3470,100.000000,24,1200,215.813725,123.500,28,92.815385,-0.656700,1.098900,5.882400,1227,27009951
3471,100.000000,24,1200,220.290323,120.000,27,92.542373,-0.320200,0.000000,6.451600,1218,24953166
3472,100.000000,24,1200,225.644444,123.500,26,92.542373,-0.895600,-0.362300,6.666700,1218,24735144
3473,100.000000,24,1200,225.644444,123.500,26,92.542373,-1.222200,0.363600,6.666700,1218,24735144
3474,100.000000,24,1200,232.855263,127.000,21,93.458333,-2.534000,0.000000,8.219200,1137,20121489
3475,100.000000,50,651,164.634146,86.000,13,83.347826,,,7.317100,468,3159000
3476,100.000000,50,651,163.095238,91.000,14,83.583333,0.691500,0.380200,7.142900,468,3205800
3477,100.000000,50,651,164.634146,86.000,13,83.347826,-13.203400,-13.636400,7.317100,468,3159000
3478,100.000000,50,651,164.634146,86.000,13,83.347826,4.064100,5.701800,7.317100,468,3159000
3479,100.000000,50,651,172.921053,96.000,12,83.347826,26.027000,28.630700,7.894700,450,2956950
3480,100.000000,59,495,203.161290,91.000,10,92.750000,,,9.677400,313,1971274
3481,100.000000,59,495,200.600000,90.500,10,93.400000,0.691500,0.380200,10.000000,313,1883634
